,src_ip,src_port,dst_ip,dst_port,protocol,bidirectional_packets,bidirectional_bytes,application_name
22499,0.0.144.101,0,124.161.231.248,0,107,1,1212,Unknown
22500,0.0.144.101,0,115.218.231.233,0,107,1,1229,Unknown
22501,0.0.144.101,0,121.91.231.242,0,107,1,1198,Unknown
22502,0.0.144.120,0,156.62.83.249,0,107,1,109,Unknown
22503,0.0.144.101,0,120.103.231.241,0,107,1,1194,Unknown
22504,0.0.144.101,0,121.98.231.242,0,107,1,1198,Unknown
22505,0.0.144.120,0,157.119.83.253,0,107,1,142,Unknown
22506,0.0.144.101,0,124.168.231.248,0,107,1,1213,Unknown
22507,0.0.144.120,0,156.138.83.250,0,107,1,142,Unknown
22508,0.0.144.120,0,157.232.83.255,0,107,1,131,Unknown
22509,0.0.144.101,0,114.181.231.231,0,107,1,1182,Unknown
22510,0.0.144.101,0,120.110.231.241,0,107,1,1194,Unknown
22511,0.0.144.101,0,121.105.231.242,0,107,1,1198,Unknown
22512,0.0.144.101,0,119.124.231.239,0,107,1,1230,Unknown
22513,0.0.144.120,0,158.196.84.2,0,107,1,118,Unknown
22514,0.0.144.101,0,115.225.231.233,0,107,1,1229,Unknown
22515,0.0.144.101,0,114.188.231.231,0,107,1,1176,Unknown
22516,0.0.144.120,0,158.160.84.2,0,107,1,147,Unknown
22517,0.0.144.229,0,121.108.231.242,0,107,1,1199,Unknown
22518,0.0.144.120,0,157.179.83.254,0,107,1,122,Unknown
22519,0.0.144.101,0,119.131.231.239,0,107,1,1231,Unknown
22520,0.0.144.101,0,124.175.231.248,0,107,1,1201,Unknown
22521,0.0.144.101,0,114.195.231.231,0,107,1,1176,Unknown
22522,0.0.144.101,0,115.232.231.233,0,107,1,1241,Unknown
22523,0.0.144.101,0,124.182.231.248,0,107,1,1202,Unknown
22524,0.0.144.120,0,156.69.83.249,0,107,1,109,Unknown
22525,0.0.144.101,0,120.117.231.241,0,107,1,1210,Unknown
22526,0.0.144.101,0,119.143.231.240,0,107,1,1232,Unknown
22527,0.0.144.101,0,124.50.231.247,0,107,1,1216,Unknown
22528,0.0.144.101,0,121.110.231.243,0,107,1,1197,Unknown
22529,0.0.144.101,0,115.239.231.233,0,107,1,1241,Unknown
22530,0.0.144.101,0,124.189.231.248,0,107,1,1202,Unknown
22531,0.0.144.101,0,121.117.231.243,0,107,1,1197,Unknown
22532,0.0.144.101,0,114.202.231.231,0,107,1,76,Unknown
22533,0.0.144.120,0,157.126.83.253,0,107,1,119,Unknown
22534,0.0.144.101,0,114.209.231.231,0,107,1,1176,Unknown
22535,0.0.144.101,0,124.57.231.247,0,107,1,1216,Unknown
22536,0.0.144.101,0,115.246.231.233,0,107,1,1241,Unknown
22537,0.0.144.101,0,121.124.231.243,0,107,1,1197,Unknown
22538,0.0.144.101,0,124.194.231.249,0,107,1,1210,Unknown
22539,0.0.144.120,0,156.145.83.250,0,107,1,141,Unknown
22540,0.0.144.120,0,157.239.83.255,0,107,1,119,Unknown
22541,0.0.144.101,0,119.150.231.240,0,107,1,1232,Unknown
22542,0.0.144.101,0,121.138.231.243,0,107,1,1225,Unknown
22543,0.0.144.101,0,120.124.231.241,0,107,1,1210,Unknown
22544,0.0.144.101,0,114.216.231.231,0,107,1,1177,Unknown
22545,0.0.144.102,0,61.49.231.247,0,107,1,1197,Unknown
22546,0.0.144.101,0,115.253.231.233,0,107,1,1206,Unknown
22547,0.0.144.229,0,114.219.231.231,0,107,1,1177,Unknown
22548,0.0.144.102,0,61.48.231.247,0,107,1,1197,Unknown
22549,0.0.144.101,0,119.157.231.240,0,107,1,1233,Unknown
22550,0.0.144.101,0,120.131.231.241,0,107,1,1210,Unknown
22551,0.0.144.101,0,121.145.231.243,0,107,1,1226,Unknown
22552,0.0.144.120,0,158.203.84.2,0,107,1,142,Unknown
22553,0.0.144.101,0,116.6.231.233,0,107,1,1206,Unknown
22554,0.0.144.101,0,114.223.231.231,0,107,1,1178,Unknown
22555,0.0.144.101,0,124.201.231.249,0,107,1,1210,Unknown
22556,0.0.144.101,0,116.13.231.233,0,107,1,1206,Unknown
22557,0.0.144.101,0,119.164.231.240,0,107,1,1227,Unknown
22558,0.0.144.101,0,121.152.231.243,0,107,1,1226,Unknown
22559,0.0.144.101,0,116.20.231.233,0,107,1,1237,Unknown
22560,0.0.144.101,0,120.138.231.241,0,107,1,76,Unknown
22561,0.0.144.101,0,114.230.231.231,0,107,1,1179,Unknown
22562,0.0.144.101,0,124.208.231.249,0,107,1,1211,Unknown
22563,0.0.144.101,0,120.145.231.241,0,107,1,1221,Unknown
22564,0.0.144.101,0,124.64.231.247,0,107,1,1216,Unknown
22565,0.0.144.101,0,121.159.231.243,0,107,1,1228,Unknown
22566,0.0.144.101,0,116.27.231.233,0,107,1,1237,Unknown
22567,0.0.144.120,0,157.131.83.254,0,107,1,135,Unknown
22568,0.0.144.101,0,124.69.231.248,0,107,1,1220,Unknown
22569,0.0.144.101,0,124.215.231.249,0,107,1,1220,Unknown
22570,0.0.144.120,0,157.186.83.254,0,107,1,140,Unknown
22571,0.0.144.120,0,157.246.83.255,0,107,1,116,Unknown
22572,0.0.144.101,0,124.222.231.249,0,107,1,1220,Unknown
22573,0.0.144.120,0,156.76.83.249,0,107,1,109,Unknown
22574,0.0.144.101,0,119.171.231.240,0,107,1,1228,Unknown
22575,0.0.144.101,0,114.244.231.231,0,107,1,1217,Unknown
22576,0.0.144.120,0,156.152.83.250,0,107,1,143,Unknown
22577,0.0.144.101,0,120.152.231.241,0,107,1,1221,Unknown
